location,country_code,latitude,longitude,confirmed,dead,recovered,updated
"Presidio County, Texas",us,29.9480666,-104.1001326,13,0,None,2020-06-24 03:30:27.070589+00:00
Pilõezinhos,br,-6.843131,-35.53057750000001,87,0,None,2020-06-13 00:20:20.628942+00:00
Pavussu,br,-7.964324700000001,-43.2243453,2,1,None,2020-06-13 00:20:19.650852+00:00
Foz do Jordão,br,-25.6934949,-52.0851258,19,0,None,2020-06-13 00:19:58.969475+00:00
Lagoa Seca,br,-7.1549934,-35.8537249,196,3,None,2020-06-13 00:20:08.643082+00:00
Sächsische Schweiz-Osterzgebirge,de,50.89819490000001,13.8716319,389,2,None,2020-06-23 00:00:00+00:00
"Throckmorton County, Texas",us,33.1814565,-99.2785583,1,0,0,2020-06-22 03:31:42.157088+00:00
Catende,br,-8.6679698,-35.7218229,195,12,None,2020-06-13 00:19:51.029872+00:00
Gilbués,br,-9.8289362,-45.3382228,6,0,None,2020-06-13 00:19:59.580540+00:00
Itacajá,br,-8.3933415,-47.7730378,0,0,None,2020-06-13 00:20:03.678386+00:00
Princesa Isabel,br,-7.7350218,-37.9946455,19,0,None,2020-06-13 00:20:24.182273+00:00
"Waller County, Texas",us,29.9751629,-96.02557379999999,114,0,None,2020-06-24 03:30:27.070589+00:00
"Chippewa County, Wisconsin",us,45.0673752,-91.2924666,70,0,None,2020-06-24 03:30:27.070589+00:00
Itapiratins,br,-8.3802211,-48.1076175,28,0,None,2020-06-13 00:20:04.577950+00:00
Suhl,de,50.6076846,10.6881255,20,2,None,2020-06-23 00:00:00+00:00
Abadia de Goiás,br,-16.763784,-49.4377043,14,0,None,2020-06-13 00:19:39.999296+00:00
Itatiaia,br,-22.4912365,-44.5721272,12,0,None,2020-06-13 00:20:04.919003+00:00
Santa Luzia do Pará,br,-1.5220326,-46.901112,95,4,None,2020-06-13 00:20:27.966916+00:00
"Columbia County, Wisconsin",us,43.40466319999999,-89.3226954,69,1,None,2020-06-24 03:30:27.070589+00:00
Aporá,br,-11.658109,-38.0715385,18,1,None,2020-06-13 00:19:42.313110+00:00
Guapimirim,br,-22.535199,-42.9899491,457,28,None,2020-06-13 00:20:00.387784+00:00
Capim Grosso,br,-11.3801768,-40.0068953,32,3,None,2020-06-13 00:19:49.805095+00:00
