location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Newfoundland and Labrador,ca,53.1355091,-57.6604364,261,3,None,2020-06-23 00:00:00+00:00
Nordrhein-Westfalen,de,51.43323669999999,7.661593799999999,41418,1665,None,2020-06-24 03:32:43.358486+00:00
Arkansas,us,35.20105,-91.8318334,16083,227,None,2020-06-24 03:30:27.070589+00:00
South Dakota,us,43.9695148,-99.9018131,6326,81,None,2020-06-24 03:30:27.070589+00:00
Goa,in,15.2993265,74.12399599999999,864,1,152,2020-06-24 03:33:13.005824+00:00
Colorado,us,39.5500507,-105.7820674,30705,1651,None,2020-06-24 03:30:27.070589+00:00
Illinois,us,40.6331249,-89.3985283,138615,6889,None,2020-06-22 03:31:40.639934+00:00
Maine,us,45.253783,-69.4454689,2971,102,None,2020-06-22 03:31:40.639934+00:00
Nova Scotia,ca,44.68198659999999,-63.744311,1061,63,None,2020-06-23 00:00:00+00:00
Montana,us,46.8796822,-110.3625658,753,21,None,2020-06-24 03:30:27.070589+00:00
Hamburg,de,53.5510846,9.9936819,5170,259,None,2020-06-23 06:33:02.029088+00:00
Andaman and Nicobar Islands,in,11.7400867,92.6586401,48,0,37,2020-06-24 03:33:13.005824+00:00
Île-de-France,fr,48.8499198,2.6370411,38806,7407,27107,2020-06-24 03:32:18.985748+00:00
Andhra Pradesh,in,15.9128998,79.7399875,9372,111,4495,2020-06-24 03:33:13.005824+00:00
Rondônia,br,-11.5057341,-63.580611,11224,296,3700,2020-06-12 00:00:00+00:00
Niedersachsen**,de,52.6367036,9.8450766,13136,618,None,2020-06-22 08:34:45.398910+00:00
Assam,in,26.2006043,92.9375739,5586,9,3521,2020-06-24 03:33:13.005824+00:00
New Mexico,us,34.5199402,-105.8700901,10694,469,None,2020-06-24 03:30:27.070589+00:00
Espírito Santo,br,-19.1834229,-40.3088626,25502,999,13921,2020-06-12 00:00:00+00:00
Tocantins,br,-10.17528,-48.2982474,6744,128,3543,2020-06-12 00:00:00+00:00
Oregon,us,43.8041334,-120.5542012,7090,192,None,2020-06-22 03:31:40.639934+00:00
West Bengal,in,22.9867569,87.8549755,14358,569,8687,2020-06-24 03:33:13.005824+00:00
Rio Grande do Norte,br,-5.402580299999999,-36.954107,13544,514,1993,2020-06-12 00:00:00+00:00
New York,us,40.7127753,-74.0059728,393257,30934,None,2020-06-22 03:31:40.639934+00:00
Rhode Island,us,41.5800945,-71.4774291,16459,632,None,2020-06-24 03:30:27.070589+00:00
California,us,36.778261,-119.4179324,184765,5566,0,2020-06-22 03:31:42.157088+00:00
Connecticut,us,41.6032207,-73.087749,45782,4263,None,2020-06-24 03:30:27.070589+00:00
Kentucky,us,37.8393332,-84.2700179,14073,549,None,2020-06-22 03:31:40.639934+00:00
Baden-Württemberg**,de,48.6616037,9.3501336,35272,1824,None,2020-06-22 08:34:45.256351+00:00
Sachsen**,de,51.1045407,13.2017384,5408,221,None,2020-06-22 08:34:45.470523+00:00
Quebec,ca,52.9399159,-73.5491361,54884,5424,None,2020-06-23 00:00:00+00:00
Northwest Territories,ca,64.8255441,-124.8457334,5,0,None,2020-06-23 00:00:00+00:00
Delhi,in,28.7040592,77.10249019999999,62655,2233,36602,2020-06-24 03:33:13.005824+00:00
Sikkim,in,27.5329718,88.5122178,78,0,29,2020-06-24 03:33:13.005824+00:00
Maryland,us,39.0457549,-76.64127119999999,65202,3074,None,2020-06-22 03:31:40.639934+00:00
New Jersey,us,40.0583238,-74.4056612,169415,12895,None,2020-06-24 03:30:27.070589+00:00
Ceará,br,-5.4983977,-39.3206241,75784,4812,53906,2020-06-12 00:00:00+00:00
Wisconsin,us,43.7844397,-88.7878678,25181,745,None,2020-06-22 03:31:40.639934+00:00
Pays de la Loire,fr,47.7632836,-0.3299687,2685,465,2022,2020-06-24 03:32:18.965546+00:00
North Carolina,us,35.7595731,-79.01929969999999,53964,1278,0,2020-06-22 03:31:42.157088+00:00
Pennsylvania,us,41.2033216,-77.1945247,86666,6475,None,2020-06-22 03:31:40.639934+00:00
Wyoming,us,43.0759678,-107.2902839,1230,20,None,2020-06-24 03:30:27.070589+00:00
Amazonas,br,-3.4168427,-65.8560646,55111,2429,44447,2020-06-12 00:00:00+00:00
New Brunswick,ca,46.5653163,-66.46191639999999,165,2,None,2020-06-23 00:00:00+00:00
Mato Grosso do Sul,br,-20.7722295,-54.7851531,3001,28,1552,2020-06-12 00:00:00+00:00
Dadar Nagar Haveli,in,20.1808672,73.0169135,2,0,0,2020-05-30 03:35:09.086737+00:00
British Columbia,ca,53.7266683,-127.6476205,2835,170,None,2020-06-23 00:00:00+00:00
Bihar,in,25.0960742,85.31311939999999,7825,55,5781,2020-06-24 03:33:13.005824+00:00
