location,data
Brunei,"1. Passengers are not allowed to transit or enter Brunei Darussalam.

- This does not apply to nationals and residents of Brunei Darussalam.

2. All visa exemptions and Visa on Arrival are temporarily suspended.

3. All visa issued to passengers are temporarily suspended.

4. Special consideration is only given by the Brunei Immigration Department which is subject to the affairs of interest to Brunei Darussalam by applying to the Brunei Immigration Department by downloading the form provided on the Department’s website at www.immigration.gov.bn"
Ecuador,"1. Ecuador's borders are closed.
- This does not apply to nationals and residents of Ecuador who are minors traveling without parents or legal tutor, pregnant women, elderly passengers or passengers with disabilities.
2. Flights to Ecuador are suspended until 30 April 2020. "
Anguilla,All airports in Anguilla are closed until 20 April 2020.
Canada,"1. Passengers who have been outside of Canada or USA in the past 14 days, are not allowed to enter Canada.
- This does not apply to nationals of Canada.
- This does not apply to immediate family members of nationals of Canada, which include:
a. the spouse or common-law partner of the person;
b. a dependent child of the person or of the person's spouse or common-law partner;
c. a dependent child of a dependent child referred to in paragraph b;
d. the parent or step-parent of the person or of the person's spouse or common-law partner; or
e. the guardian or tutor of the person. (membre de la famille immediate). 
- This does not apply to permanent residents of Canada and their immediate family members.
- This does not apply to diplomats.
- This does not apply to airline crew.
- This does not apply to seasonal agricultural workers, fish/seafood workers, caregivers and all other temporary foreign workers.
- This does not apply to international students who held a valid study permit, or had been approved for a study permit, when the travel restrictions took effect on March 18, 2020.
- This does not apply to permanent resident applicants who had been approved for permanent residence before the travel restrictions were announced on March 18, 2020, but who had not yet travelled to Canada.
- This does not apply to the following passengers:
a. Person registered as an Indian under the Indian Act;
b. Person authorized in writing by a consular officer of the government of Canada to come to Canada to reunite with immediate family members;
c. Person who is exempt from the requirements to obtain a temporary resident visa under paragraph 190 (2)(a) of the Immigration and Refugee Protection Regulations, and their immediate family members;
d. Person who enters Canada at the invitation of the Minister of Health for the purpose of assisting in the COVID-19 response;
e. Person who arrives by means of an aircraft operated by Canadian Forces or the Department of National Defence;
f. Member of the Canadian Forces or a visiting force, as defined in section 2 of the Visiting Forces Act, and their immediate family members;
g. Protected person, under section 95 (2) of the Immigration and Refugee Protection Act;
h. French citizen who resides in Saint-Pierre-et-Miquelon who has not been outside Saint-Pierre-et-Miquelon / Canada / U.S. in the last 14 days;
i. Person or class of persons that the Chief Public Health Officer, appointed under subsection 6 (1) of the Public Health Agency of Canada Act, determines does not pose a risk of significant harm to public health or who will provide an essential service while in Canada;
j. Person whom the Minister of Foreign Affairs, the Minister of Citizenship and Immigration or the Minister of Public Safety and Emergency Preparedness determines their presence is in the national interest.
2. Passengers with Coronavirus (COVID-19) symptoms are not allowed to travel to Canada until:
- they have waited for a period of 14 days; or
- they can present a medical certificate that confirms the patient is free from the Coronavirus (COVID-19). 
3. Passengers who have been refused boarding in the past 14 days due to a medical reason related to Coronavirus (COVID-19) are not allowed to enter.
4. Passengers are required to self-isolate for a period of 14 days upon arrival at their final destination in Canada. 
5. Passengers who were in the cruise ship 'Diamond Princess' are subject to a mandatory 14-day isolation at a quarantine facility upon arrival in Canada. "
Albania,"Flights to Albania are suspended.
- This does not apply to flights operated by Air Albania (ZB) from/to Istanbul (IST)."
Armenia,"1. Passengers are not allowed to enter Armenia until 14 May 2020.
- This does not apply to nationals and residents of Armenia.
- This does not apply to the immediate family members of nationals of Armenia.
- This does not apply to diplomats and their immediate family members.
- This does not apply to airline crew.
2. Passengers who are allowed to enter Armenia are subject to a 14 day quarantine."
Angola,"1. Passengers and airline crew who have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain are not allowed to enter Angola. This also applies to passengers and airline crew who have been in contact with people infected by the Coronavirus (COVID-19).
- This does not apply to airline crew and nationals of Angola. 
2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain will be put in quarantine. 
3. A completed sanitary control sheet must be presented to the National Directorate of Public Health of the Ministry of Health upon arrival."
Algeria,All international flights to Algeria are suspended.
Israel,"1. Passengers are not allowed to enter Israel.
- This does not apply to nationals of Israel.
- This does not apply to residents of Israel.
- This does not apply to passengers that have a specific entry approval from the population and Immigration Authority of Israel. 
2.Transit facilities at Tel Aviv (TLV) are temporarily suspended.
3. All international arrivals will be quarantined at a government-designated facility for a period of 14 days."
Argentina,"1. Passengers are not allowed to enter Argentina until 26 April 2020.
- This does not apply to nationals of Argentina.
- This does not apply to passengers who reside in Argentina.
2. Airlines operating repatriation flights must send passenger's information to ANAC 12 hours before departure. This information must contain passenger list with travel document numbers, phone number and address where each person declares that they will comply with the mandatory quarantine upon arrival."
Aruba,"Passengers are not allowed to enter Aruba.
-This does not apply to residents of Aruba. They must hold an valid Aruban driving license, Aruban ID card or a valid Aruban Health Insurance Card.
-This does not apply to airline crew.
-Passengers must apply self-quarantine for 14 days"
Azerbaijan,"1. Nationals of China (People's Rep.) are not allowed to enter Azerbaijan if they do not have a visa obtained before departure. 
2. Nationals of Bahrain, Indonesia, Iran, Israel, Japan, Korea (Rep.), Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Singapore, UAE and USA are not allowed to enter Azerbaijan if they do not have a visa obtained before departure."
Bolivia,"1. Passengers are not allowed to enter Bolivia until 30 April 2020.
- This does not apply to nationals of Bolivia and residents of Bolivia.
- This does not apply to passengers who are in a diplomatic mission.
2. Flights from Europe to Bolivia are suspended until 30 April 2020. "
Barbados,"Barbados (BGI) is closed until 3 May 2020. 
- This does not apply to Medevac flights, technical stops, and authorized flights, e.g. humanitarian aid."
Montserrat,"Passengers are not allowed to enter Montserrat.
- This does not apply to passengers from Montserrat;
- This does not apply to passengers who have a permit of permanent residence;
- This does not apply to airline crew;
- This does not apply to husband, wife, child or other dependents of a person who is from or reside in Montserrat."
